Country_Name,Average_Total_Amount,Median_Total_Amount,Sum_Total_Amount
Republic of Niger,19917321.42857143,18500000.0,1115370000.0
Republic of Panama,31932000.0,30000000.0,798300000.0
Republic of Paraguay,24041666.666666668,22500000.0,577000000.0
Republic of Peru,63553580.24691358,25000000.0,5147840000.0
Republic of Poland,119427692.3076923,100000000.0,6210240000.0
Republic of Rwanda,22462203.389830507,15300000.0,1325270000.0
Republic of Senegal,28380232.558139537,17650000.0,2440700000.0
Republic of Serbia,35640975.6097561,15000000.0,1461280000.0
Republic of Seychelles,562500.0,0.0,4500000.0
Republic of Sierra Leone,12982428.57142857,4000000.0,908770000.0
Republic of Slovenia,17770000.0,4750000.0,177700000.0
Republic of South Africa,3588235.294117647,0.0,61000000.0
Republic of Tajikistan,8342769.230769231,5000000.0,542280000.0
Republic of The Gambia,7365517.24137931,7000000.0,213600000.0
Republic of Togo,11940000.0,6550000.0,597000000.0
Republic of Trinidad and Tobago,18981818.181818184,20000000.0,208800000.0
Republic of Tunisia,47095974.02597403,35000000.0,3626390000.0
Republic of Turkey,224037978.72340426,182105000.0,21059570000.0
Republic of Uganda,40773157.89473684,22400000.0,5422830000.0
Republic of Uzbekistan,46006363.63636363,29500000.0,1012140000.0
Republic of Vanuatu,2414285.714285714,2000000.0,16900000.0
Republic of Yemen,23753875.96899225,16900000.0,3064250000.0
Republic of Zambia,34275301.20481928,21000000.0,2844850000.0
Republic of Zimbabwe,40894444.44444445,25000000.0,1104150000.0
Republic of the Philippines,60097080.291970804,33600000.0,8233300000.0
Republic of the Sudan,7959459.459459459,0.0,294500000.0
Republic of the Union of Myanmar,21500000.0,14500000.0,107500000.0
Republica Bolivariana de Venezuela,81003125.0,39500000.0,2592100000.0
Romania,99822580.64516129,60000000.0,6189000000.0
Russian Federation,193732394.36619717,89000000.0,13755000000.0
Samoa,5297368.421052632,4500000.0,100650000.0
Slovak Republic,42456000.0,17960000.0,424560000.0
Socialist Federal Republic of Yugoslavia,154333333.33333334,120000000.0,1852000000.0
Socialist Republic of Vietnam,64109220.77922078,44285000.0,9872820000.0
Solomon Islands,4685000.0,3100000.0,46850000.0
Somali Democratic Republic,6436842.105263158,0.0,122300000.0
South Asia,5156250.0,0.0,41250000.0
St. Kitts and Nevis,4990000.0,4400000.0,24950000.0
St. Lucia,6305333.333333333,6300000.0,94580000.0
St. Vincent and the Grenadines,4388750.0,5000000.0,35110000.0
State of Eritrea,30494444.444444444,24500000.0,548900000.0
Sultanate of Oman,13550000.0,13550000.0,27100000.0
Syrian Arab Republic,8750000.0,0.0,70000000.0
The Independent State of Papua New Guine,18013030.303030305,11000000.0,594430000.0
Turkmenistan,17900000.0,25000000.0,89500000.0
Ukraine,104206727.27272727,50000000.0,5731370000.0
Union of the Comoros,5638571.428571428,5310000.0,118410000.0
United Mexican States,217668187.9194631,115000000.0,32432560000.0
United Republic of Tanzania,50257876.10619469,30000000.0,5679140000.0
Western Africa,57675000.0,30600000.0,922800000.0
Western Balkans,2000000.0,0.0,10000000.0
